st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible,gslo,gshi
TX,OAKWOOD EL,483334003741,OAKWOOD ISD,4833340,OAKWOOD,75855,OAKWOOD,75855,Yes under Community Eligibility Option (CEO),132,,121,Prekindergarten,6th Grade
MO,OAKWOOD ELEM.,291365000593,HANNIBAL 60,2913650,HANNIBAL,63401,HANNIBAL,63401,Yes participating without using any Provision or the CEO,273,60,127,Kindergarten,5th Grade
WI,Oakwood Elementary,551119003340,Oshkosh Area School District,5511190,Oshkosh,54904,Oshkosh,54904,Yes participating without using any Provision or the CEO,407,,58,Prekindergarten,5th Grade
NC,Oakwood Elementary,370066000269,Caswell County Schools,3700660,Yanceyville,27379,Yanceyville,27379,Yes participating without using any Provision or the CEO,352,,349,Prekindergarten,5th Grade
NC,Oakwood Elementary,370219000948,Hickory City Schools,3702190,Hickory,28601,Hickory,28601,Yes participating without using any Provision or the CEO,326,,323,Prekindergarten,5th Grade
OH,Oakwood Elementary School,390455702283,Paulding Exempted Village,3904557,Oakwood,45873,Oakwood,45873,Yes participating without using any Provision or the CEO,297,,158,Prekindergarten,6th Grade
TX,OAKWOOD H S,483334003742,OAKWOOD ISD,4833340,OAKWOOD,75855,OAKWOOD,75855,Yes under Community Eligibility Option (CEO),89,,69,7th Grade,12th Grade
OH,Oakwood High School,390445801467,Oakwood City,3904458,Dayton,45419,Dayton,45419,No,668,,,9th Grade,12th Grade
TX,OAKWOOD INT,480735008129,COLLEGE STATION ISD,4807350,COLLEGE STATION,77845,COLLEGE STATION,77845,Yes participating without using any Provision or the CEO,699,,352,5th Grade,6th Grade
OH,Oakwood Junior High School,390445804264,Oakwood City,3904458,Dayton,45419,Dayton,45419,No,305,,,7th Grade,8th Grade
MO,OAKWOOD MANOR ELEMENTARY,292280001288,NORTH KANSAS CITY 74,2922800,GLADSTONE,64118,GLADSTONE,64118,Yes participating without using any Provision or the CEO,221,47,130,Prekindergarten,5th Grade
NC,Oakwood Middle IB School,370231002299,Iredell-Statesville Schools,3702310,Statesville,28677,Statesville,28677,Yes participating without using any Provision or the CEO,550,,232,6th Grade,8th Grade
OH,Oakwood Middle School,390499303763,Plain Local,3904993,Canton,44721,Canton,44721,Yes participating without using any Provision or the CEO,871,,422,7th Grade,8th Grade
NY,OAKWOOD PRIMARY CENTER,362730003727,SOUTH HUNTINGTON UNION FREE SCHOOL DISTRICT,3627300,HUNTINGTON,11743,HUNTINGTON,11743,Yes under Community Eligibility Option (CEO),643,,327,Prekindergarten,2nd Grade
UT,Oakwood School,490036000247,Granite District,4900360,SALT LAKE CITY,84121,SALT LAKE CITY,84121,Yes participating without using any Provision or the CEO,579,,141,Prekindergarten,6th Grade
TX,OAKWOOD TERRACE EL,482406002677,HURST-EULESS-BEDFORD ISD,4824060,EULESS,76040,EULESS,76040,Yes participating without using any Provision or the CEO,768,,643,Prekindergarten,6th Grade
SC,Oakwood-Windsor Elementary,450072001200,Aiken 01,4500720,Aiken,29801,Aiken,29801,Yes under Community Eligibility Option (CEO),445,330,445,Prekindergarten,5th Grade
NV,Oasis Academy,320000100817,State Sponsored Charter Schools,3200001,Fallon,89406,Fallon,89406,No,770,,,Kindergarten,12th Grade
WA,OASIS K-12,530630002869,Orcas Island School District,5306300,EASTSOUND,98245,EASTSOUND,98245,No,320,10,10,Kindergarten,12th Grade
TX,OATES EL,482364002545,HOUSTON ISD,4823640,HOUSTON,77013,HOUSTON,77013,Yes under Community Eligibility Option (CEO),272,,266,Prekindergarten,5th Grade
TX,OBADIAH KNIGHT EL,481623001297,DALLAS ISD,4816230,DALLAS,75235,DALLAS,75235,Yes under Community Eligibility Option (CEO),291,,281,Prekindergarten,5th Grade
WI,Obama School of Career and Technical Education,550960002993,Milwaukee School District,5509600,Milwaukee,53209,Milwaukee,53209,Yes under Community Eligibility Option (CEO),1226,,1092,Prekindergarten,12th Grade
NV,Ober D'Vorre & Hal ES,320006000509,Clark County,3200060,Las Vegas,89135,Las Vegas,89135,Yes under Community Eligibility Option (CEO),583,260,583,Prekindergarten,5th Grade
OH,Oberlin Elementary School,390445901470,Oberlin City Schools,3904459,Oberlin,44074,Oberlin,44074,Yes participating without using any Provision or the CEO,361,,188,Prekindergarten,5th Grade
OH,Oberlin High School,390445901471,Oberlin City Schools,3904459,Oberlin,44074,Oberlin,44074,Yes participating without using any Provision or the CEO,225,,105,9th Grade,12th Grade
NC,Oberlin Middle,370472001849,Wake County Schools,3704720,Raleigh,27608,Raleigh,27608,Yes participating without using any Provision or the CEO,1121,,352,6th Grade,8th Grade
ND,OBERON ELEMENTARY SCHOOL,381452000515,OBERON 16,3814520,Oberon,58357,Oberon,58357,Yes under Community Eligibility Option (CEO),56,42,56,Prekindergarten,8th Grade
TN,Obion County Central High School,470327001406,Obion County,4703270,Troy,38260,Troy,38260,Yes under Community Eligibility Option (CEO),688,233,,9th Grade,12th Grade
OR,Obsidian Middle School,411035000281,Redmond SD 2J,4110350,Redmond,97756,Redmond,97756,Yes under Community Eligibility Option (CEO),554,246,376,6th Grade,8th Grade
OK,OBUCH MS,400306000762,ANTLERS,4003060,Antlers,74523,Antlers,74523,Yes participating without using any Provision or the CEO,202,115,151,6th Grade,8th Grade
VA,Occohannock Elementary,510271000554,Northampton County Public Schools,5102710,Exmore,23350,Exmore,23350,Yes under Community Eligibility Option (CEO),368,365,371,Prekindergarten,6th Grade
VA,Occoquan Elementary,510313001312,Prince William County Public Schools,5103130,Woodbridge,22192,Woodbridge,22192,Yes under Community Eligibility Option (CEO),584,401,401,Prekindergarten,5th Grade
WA,OCEAN,530684002791,Port Townsend School District,5306840,Port Townsend,98368,Port Townsend,98368,Yes participating without using any Provision or the CEO,128,64,76,Kindergarten,12th Grade
NJ,Ocean Academy,340274001710,Cape May County Special Services School District,3402740,CAPE MAY COURT HOUSE,08210,CAPE MAY COURT HOUSE,08210,Yes participating without using any Provision or the CEO,145,,56,Prekindergarten,8th Grade
NJ,Ocean Academy Charter School,340078903411,Ocean Academy Charter School,3400789,Lakewood,08701,Lakewood,08701,No,499,,455,Kindergarten,8th Grade
NJ,Ocean Acres Elementary School,341569000343,Stafford Township School District,3415690,Manahawkin,08050,Manahawkin,08050,Yes participating without using any Provision or the CEO,723,,181,Prekindergarten,2nd Grade
NJ,Ocean Avenue Elementary School,341011003988,Middletown Township Public School District,3410110,NORTH MIDDLETOWN,07748,NORTH MIDDLETOWN,07748,Yes participating without using any Provision or the CEO,278,,102,Prekindergarten,5th Grade
NY,OCEAN AVENUE SCHOOL,362127003035,NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT,3621270,NORTHPORT,11768,NORTHPORT,11768,Yes participating without using any Provision or the CEO,347,,42,Kindergarten,4th Grade
SC,Ocean Bay Elementary,450249001470,Horry 01,4502490,Myrtle Beach,29579,Myrtle Beach,29579,Yes participating without using any Provision or the CEO,1109,454,456,Prekindergarten,5th Grade
SC,Ocean Bay Middle,450249001458,Horry 01,4502490,Myrtle Beach,29579,Myrtle Beach,29579,Yes participating without using any Provision or the CEO,763,236,240,6th Grade,8th Grade
WA,Ocean Beach Early Childhood Center,530606003296,Ocean Beach School District,5306060,Long Beach,98631,Long Beach,98631,Yes under Community Eligibility Option (CEO),27,16,17,Prekindergarten,Prekindergarten
WA,Ocean Beach Options Academy,530606003756,Ocean Beach School District,5306060,Long Beach,98631,Long Beach,98631,Yes under Community Eligibility Option (CEO),60,39,45,Kindergarten,12th Grade
NJ,Ocean City High School,341197001746,Ocean City School District,3411970,OCEAN CITY,08226,OCEAN CITY,08226,Yes participating without using any Provision or the CEO,1190,,152,9th Grade,12th Grade
NJ,Ocean City Intermediate School,341197001748,Ocean City School District,3411970,OCEAN CITY,08226,OCEAN CITY,08226,Yes participating without using any Provision or the CEO,355,,104,4th Grade,8th Grade
NJ,Ocean City Primary School,341197001750,Ocean City School District,3411970,OCEAN CITY,08226,OCEAN CITY,08226,Yes participating without using any Provision or the CEO,291,,71,Prekindergarten,3rd Grade
NJ,OCEAN CO JDC,340079800686,OCEAN CO JDC,3400798,TOMS RIVER,08754,TOMS RIVER,08754,No,0,,,9th Grade,12th Grade
NJ,Ocean County Vocational Technical School Brick Center,341198004670,Ocean County Vocational Technical School District,3411980,BRICK,08723,BRICK,08723,No,1,,‡,9th Grade,12th Grade
NJ,Ocean County Vocational Technical School Jackson Center,341198004672,Ocean County Vocational Technical School District,3411980,JACKSON,08527,JACKSON,08527,No,1,,,9th Grade,12th Grade
NJ,Ocean County Vocational Technical School Toms River Center,341198004674,Ocean County Vocational Technical School District,3411980,TOMS RIVER,08753,TOMS RIVER,08753,No,0,,,9th Grade,12th Grade
NJ,Ocean County Vocational Technical School Waretown Center,341198004676,Ocean County Vocational Technical School District,3411980,WARETOWN,08758,WARETOWN,08758,Yes participating without using any Provision or the CEO,83,,17,9th Grade,12th Grade
OR,Ocean Crest Elementary School,410180000236,Bandon SD 54,4101800,Bandon,97411,Bandon,97411,Yes under Community Eligibility Option (CEO),235,96,149,Kindergarten,4th Grade
SC,Ocean Drive Elementary,450249001635,Horry 01,4502490,North Myrtle Beach,29582,North Myrtle Beach,29582,Yes participating without using any Provision or the CEO,810,368,370,Prekindergarten,5th Grade
OR,Ocean Dunes High School,410004301412,ODE YCEP District,4100043,Florence,97439,Florence,97439,No,5,,,9th Grade,12th Grade
NJ,Ocean Gate Elementary School,341203004678,Ocean Gate School District,3412030,OCEAN GATE,08740,OCEAN GATE,08740,Yes participating without using any Provision or the CEO,133,,66,Prekindergarten,6th Grade
NY,OCEAN HILL COLLEGIATE CHARTER SCHOOL,360103206229,OCEAN HILL COLLEGIATE CHARTER SCHOOL,3601032,BROOKLYN,11233,BROOKLYN,11233,Yes under Community Eligibility Option (CEO),404,,328,Kindergarten,9th Grade
VA,Ocean Lakes Elementary,510384002167,Virginia Beach City Public Schools,5103840,Virginia Beach,23454,Virginia Beach,23454,Yes participating without using any Provision or the CEO,564,167,194,Prekindergarten,5th Grade
VA,Ocean Lakes High,510384001046,Virginia Beach City Public Schools,5103840,Virginia Beach,23454,Virginia Beach,23454,Yes participating without using any Provision or the CEO,1814,469,552,9th Grade,12th Grade
WA,Ocean Park Elementary,530606003050,Ocean Beach School District,5306060,OCEAN PARK,98640,Ocean Park,98640,Yes under Community Eligibility Option (CEO),217,147,163,3rd Grade,5th Grade
NJ,OCEAN RCH,340008900645,OFFICE OF EDUCATION JUVENILE JUSTICE COMMISSION,3400089,FORKED RIVER,08731,FORKED RIVER,08731,No,0,,,7th Grade,12th Grade
NJ,Ocean Regional School,340008500767,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,3400085,TOMS RIVER,08753,TOMS RIVER,08753,No,0,,,2nd Grade,12th Grade
NJ,Ocean Road Elementary School,341329004698,Point Pleasant Borough School District,3413290,POINT PLEASANT,08742,POINT PLEASANT,08742,Yes participating without using any Provision or the CEO,481,,48,Prekindergarten,5th Grade
WA,Ocean Shores Elementary,530570000844,North Beach School District No. 64,5305700,Ocean Shores,98569,Ocean Shores,98569,Yes under Community Eligibility Option (CEO),286,177,214,Prekindergarten,6th Grade
NJ,Ocean Township Elementary School,341206004064,Township of Ocean School District,3412060,OAKHURST,07755,OAKHURST,07755,Yes participating without using any Provision or the CEO,392,,179,Prekindergarten,4th Grade
NJ,Ocean Township High School,341206004058,Township of Ocean School District,3412060,OAKHURST,07755,OAKHURST,07755,Yes participating without using any Provision or the CEO,996,,273,9th Grade,12th Grade
VA,Ocean View Elementary,510267001125,Norfolk City Public Schools,5102670,Norfolk,23503,Norfolk,23503,Yes under Community Eligibility Option (CEO),504,501,505,Kindergarten,5th Grade
WV,Oceana Middle School,540165001213,WYOMING COUNTY SCHOOLS,5401650,Oceana,24870,Oceana,24870,Yes under Community Eligibility Option (CEO),215,120,,5th Grade,8th Grade
VA,Oceanair Elementary,510267001126,Norfolk City Public Schools,5102670,Norfolk,23503,Norfolk,23503,Yes under Community Eligibility Option (CEO),422,419,660,Prekindergarten,5th Grade
OR,Oceanlake Elementary School,410750000651,Lincoln County SD,4107500,Lincoln City,97367,Lincoln City,97367,Yes under Community Eligibility Option (CEO),281,129,187,Kindergarten,2nd Grade
TX,OCEANS BEHAVIORAL HEALTH,480744011037,ABILENE ISD,4807440,ABILENE,79602,ABILENE,79602,Yes under Community Eligibility Option (CEO),7,,‡,7th Grade,12th Grade
SC,Oceanside Collegiate Academy,450390901663,Charter Institute at Erskine,4503909,Mount Pleasant,29466,Mount Pleasant,29466,Yes participating without using any Provision or the CEO,653,,5,9th Grade,12th Grade
OR,Ockley Green Middle School,411004000925,Portland SD 1J,4110040,Portland,97217,Portland,97217,Yes under Community Eligibility Option (CEO),428,183,276,6th Grade,8th Grade
TN,Ocoee Middle School,470033000089,Bradley County,4700330,Cleveland,37311,Cleveland,37311,Yes under Community Eligibility Option (CEO),1045,224,,6th Grade,8th Grade
WI,Oconomowoc High,551089001421,Oconomowoc Area School District,5510890,Oconomowoc,53066,Oconomowoc,53066,No,1633,,312,9th Grade,12th Grade
WI,Oconto Elementary,551092001429,Oconto Unified School District,5510920,Oconto,54153,Oconto,54153,Yes participating without using any Provision or the CEO,354,,203,Prekindergarten,4th Grade
WI,Oconto Falls Elementary,551095001066,Oconto Falls Public School District,5510950,Oconto Falls,54154,Oconto Falls,54154,Yes participating without using any Provision or the CEO,498,,236,Prekindergarten,5th Grade
WI,Oconto Falls High,551095001435,Oconto Falls Public School District,5510950,Oconto Falls,54154,Oconto Falls,54154,Yes participating without using any Provision or the CEO,534,,167,9th Grade,12th Grade
WI,Oconto High,551092001428,Oconto Unified School District,5510920,Oconto,54153,Oconto,54153,Yes participating without using any Provision or the CEO,265,,108,9th Grade,12th Grade
