st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible,gslo,gshi
NV,100 Academy of Engineering and Technology ES,320006000670,Clark County,3200060,N  Las Vegas,89032,N  Las Vegas,89032,Yes under Community Eligibility Option (CEO),168,125,168,Kindergarten,5th Grade
NV,100 Academy of Engineering and Technology MS,320006000756,Clark County,3200060,N  Las Vegas,89032,N  Las Vegas,89032,Yes under Community Eligibility Option (CEO),71,55,71,6th Grade,8th Grade
WA,10th Street School,530486002475,Marysville School District,5304860,Marysville,98271,Marysville,98271,Yes under Community Eligibility Option (CEO),163,52,58,6th Grade,8th Grade
NE,18+ PROGRAM,318009002335,EDUCATIONAL SERVICE UNIT 09,3180090,HASTINGS,68901,HASTINGS,68901,No,0,,,9th Grade,12th Grade
NE,1R ELEMENTARY,317458000209,NORTHWEST PUBLIC SCHOOLS,3174580,GRAND ISLAND,68803,GRAND ISLAND,68803,Yes participating without using any Provision or the CEO,196,,55,Prekindergarten,8th Grade
PA,21st Century Cyber CS,420009100597,21st Century Cyber CS,4200091,West Chester,19380,West Chester,19380,No,1103,,57,6th Grade,12th Grade
WI,21st Century Preparatory School,550004502575,Racine Charter One Inc,5500045,Racine,53404,Racine,53404,Yes under Community Eligibility Option (CEO),512,,39,Prekindergarten,8th Grade
NM,21ST CENTURY PUBLIC ACADEMY,350018700811,21ST CENTURY PUBLIC ACADEMY,3500187,ALBUQUERQUE,87110,ALBUQUERQUE,87110,Yes under Community Eligibility Option (CEO),378,84,192,1st Grade,8th Grade
MT,227 Academy,300065501146,East Helena K-12,3000655,East Helena,59635,East Helena,59635,,,,,,
NE,3-YEAR-OLD PRESCHOOL,317718002379,SOUTHERN SCHOOL DISTRICT 1,3177180,BLUE SPRING,68318,BLUE SPRING,68318,No,0,,,Prekindergarten,Prekindergarten
NY,30TH AVENUE SCHOOL (THE) (G & T CITYWIDE),360010206477,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,ASTORIA,11102,ASTORIA,11102,Yes under Community Eligibility Option (CEO),513,,142,Kindergarten,8th Grade
RI,360 High School,440090000492,Providence,4400900,Providence,02905,Providence,02905,Yes under Community Eligibility Option (CEO),360,179,297,9th Grade,12th Grade
OH,3EA,390487306154,Northridge Local,3904873,Dayton,45414,Dayton,45414,No,2,,,6th Grade,9th Grade
WY,4-J Elementary School,560147000454,Campbell County School District #1,5601470,Gillette,82718,Gillette,82717,Yes participating without using any Provision or the CEO,36,3,5,Kindergarten,6th Grade
NY,47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),360007705767,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,NEW YORK,10010,NEW YORK,10010,,177,,137,Prekindergarten,8th Grade
WI,4K Center for Literacy,550747003029,Kimberly Area School District,5507470,Kimberly,54136,Kimberly,54136,No,290,,39,Prekindergarten,Prekindergarten
WI,4K Community-Based,551266002889,Reedsburg School District,5512660,Reedsburg,53959,Reedsburg,53959,No,40,,28,Prekindergarten,Prekindergarten
WI,4K McFarland,550891002902,McFarland School District,5508910,McFarland,53558,McFarland,53558,No,120,,13,Prekindergarten,Prekindergarten
WI,4K PK Off Site,550852002475,Madison Metropolitan School District,5508520,Madison,53703,Madison,53703,No,594,,29,Prekindergarten,Prekindergarten
OK,4TH AND 5TH GRADE CENTER,400957002918,DEER CREEK,4009570,Edmond,73012,Edmond,73012,Yes participating without using any Provision or the CEO,1239,267,316,4th Grade,5th Grade
OR,509J On-Line,410674001907,Jefferson County SD 509J,4106740,Madras,97741,Madras,97741,No,25,,,Kindergarten,8th Grade
WV,6-12 Summers County Comprehensive HS,540135001603,SUMMERS COUNTY SCHOOLS,5401350,Hinton,25951,Hinton,25951,Yes under Community Eligibility Option (CEO),669,435,,6th Grade,12th Grade
OK,6TH AND 7TH GRADE ACADEMY,402097000599,MUSKOGEE,4020970,Muskogee,74403,Muskogee,74403,Yes under Community Eligibility Option (CEO),544,415,498,6th Grade,7th Grade
VA,6th Grade Academy at Arnett Hills,510111003138,Danville City Public Schools,5101110,Danville,24540,Danville,24540,,,,,,
PA,6th Grade Center,421989007631,Quakertown Community SD,4219890,Quakertown,18951,Quakertown,18951,Yes participating without using any Provision or the CEO,354,,124,6th Grade,6th Grade
MO,6TH GRADE CENTER,293144003207,WAYNESVILLE R-VI,2931440,Waynesville,65583,Waynesville,65583,Yes participating without using any Provision or the CEO,441,46,173,6th Grade,6th Grade
OK,7TH AND 8TH GRADE ACADEMIC CTR,402487002915,POTEAU,4024870,Poteau,74953,Poteau,74953,Yes participating without using any Provision or the CEO,317,194,233,7th Grade,8th Grade
TX,7TH H S - NORTHEAST,483808012373,ROUND ROCK ISD,4838080,ROUND ROCK,78681,ROUND ROCK,78681,,,,,,
OK,8th and 9th Grade Academy,402097002930,MUSKOGEE,4020970,Muskogee,74403,Muskogee,74403,Yes under Community Eligibility Option (CEO),689,436,559,8th Grade,9th Grade
TX,A & M CONS H S,480735000001,COLLEGE STATION ISD,4807350,COLLEGE STATION,77840,COLLEGE STATION,77840,Yes participating without using any Provision or the CEO,2160,,749,9th Grade,12th Grade
TX,A & M CONSOLIDATED MIDDLE,480735008712,COLLEGE STATION ISD,4807350,COLLEGE STATION,77840,COLLEGE STATION,77840,Yes participating without using any Provision or the CEO,695,,330,7th Grade,8th Grade
NJ,A A Anastasia Elementary School,340894003908,LONG BRANCH PUBLIC SCHOOL District,3408940,LONG BRANCH,07740,LONG BRANCH,07740,Yes participating without using any Provision or the CEO,588,,472,Kindergarten,5th Grade
NY,A A GATES ELEMENTARY SCHOOL,362343003270,PORT BYRON CENTRAL SCHOOL DISTRICT,3623430,PORT BYRON,13140,PORT BYRON,13140,Yes under Community Eligibility Option (CEO),440,,191,Prekindergarten,6th Grade
NY,A A KINGSTON MIDDLE SCHOOL,362367003299,POTSDAM CENTRAL SCHOOL DISTRICT,3623670,POTSDAM,13676,POTSDAM,13676,Yes participating without using any Provision or the CEO,346,,118,5th Grade,8th Grade
TX,A B DUNCAN COLLEGIATE EL,481944001801,FLOYDADA COLLEGIATE ISD,4819440,FLOYDADA,79235,FLOYDADA,79235,Yes under Community Eligibility Option (CEO),309,,236,Prekindergarten,5th Grade
TX,A B MCBAY EL,483042003424,MEXIA ISD,4830420,MEXIA,76667,MEXIA,76667,Yes under Community Eligibility Option (CEO),529,,461,Prekindergarten,2nd Grade
TX,A C BLUNT MIDDLE,480858000225,ARANSAS PASS ISD,4808580,ARANSAS PASS,78336,ARANSAS PASS,78336,Yes under Community Eligibility Option (CEO),388,,252,6th Grade,8th Grade
OR,A C Houghton Elementary School,410852000858,Morrow SD 1,4108520,Irrigon,97844,Irrigon,97844,Yes under Community Eligibility Option (CEO),223,108,167,Kindergarten,3rd Grade
TX,A C JONES H S,480972000442,BEEVILLE ISD,4809720,BEEVILLE,78102,BEEVILLE,78102,Yes under Community Eligibility Option (CEO),1021,,818,9th Grade,12th Grade
NJ,A Chester Redshaw School,341122003456,New Brunswick School District,3411220,NEW BRUNSWICK,08901,NEW BRUNSWICK,08901,Yes under Community Eligibility Option (CEO),736,,445,Prekindergarten,5th Grade
NY,A D OLIVER MIDDLE SCHOOL,360558000286,BROCKPORT CENTRAL SCHOOL DISTRICT,3605580,BROCKPORT,14420,BROCKPORT,14420,Yes under Community Eligibility Option (CEO),738,,375,6th Grade,8th Grade
TX,A E BUTLER INT,483624004074,QUINLAN ISD,4836240,QUINLAN,75474,QUINLAN,75474,Yes participating without using any Provision or the CEO,665,,539,3rd Grade,5th Grade
NY,A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,360273000048,WINDSOR CENTRAL SCHOOL DISTRICT,3602730,WINDSOR,13865,WINDSOR,13865,Yes under Community Eligibility Option (CEO),535,,262,Prekindergarten,8th Grade
NC,A G Cox Middle,370001201488,Pitt County Schools,3700012,Winterville,28590,Winterville,28590,Yes participating without using any Provision or the CEO,870,,867,6th Grade,8th Grade
TX,A G ELDER EL,482493006126,JOSHUA ISD,4824930,JOSHUA,76058,JOSHUA,76058,Yes participating without using any Provision or the CEO,670,,398,Prekindergarten,5th Grade
WA,A G West Black Hills High School,530910002602,Tumwater School District,5309100,Tumwater,98512,Tumwater,98512,Yes participating without using any Provision or the CEO,792,226,262,9th Grade,12th Grade
TN,A H Roberts Elementary,470333001977,Overton County,4703330,Livingston,38570,Livingston,38570,Yes participating without using any Provision or the CEO,330,107,,Prekindergarten,4th Grade
NC,A H Snipes Academy of Arts/Des,370333001392,New Hanover County Schools,3703330,Wilmington,28405,Wilmington,28405,Yes participating without using any Provision or the CEO,354,,351,Kindergarten,5th Grade
OH,A J Jordak Elementary School,390471702692,Cardinal Local,3904717,Middlefield,44062,Middlefield,44062,Yes participating without using any Provision or the CEO,266,,122,Kindergarten,4th Grade
PA,A J McMullen Sch,422415006933,Uniontown Area SD,4224150,Markleysburg,15459,Markleysburg,15459,Yes under Community Eligibility Option (CEO),162,,162,6th Grade,8th Grade
NY,A J SCHMIDT ELEMENTARY SCHOOL,361656001462,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),3616560,ANGOLA,14006,ANGOLA,14006,Yes under Community Eligibility Option (CEO),241,,135,Kindergarten,5th Grade
WA,A J West Elementary,530003000001,Aberdeen School District,5300030,Aberdeen,98520,Aberdeen,98520,Yes under Community Eligibility Option (CEO),301,236,259,Prekindergarten,5th Grade
NC,A L Brown High,370243001039,Kannapolis City Schools,3702430,Kannapolis,28083,Kannapolis,28083,Yes participating without using any Provision or the CEO,1776,,1773,9th Grade,12th Grade
TN,A L Lotts Elementary,470222000076,Knox County,4702220,Knoxville,37922,Knoxville,37922,Yes participating without using any Provision or the CEO,998,125,,Prekindergarten,5th Grade
NC,A L Stanback Middle,370348001441,Orange County Schools,3703480,Hillsborough,27278,Hillsborough,27278,Yes participating without using any Provision or the CEO,625,,365,6th Grade,8th Grade
PA,A L Wilson El Sch,420210007575,Albert Gallatin Area SD,4202100,Fairchance,15436,Fairchance,15436,Yes under Community Eligibility Option (CEO),357,,357,Kindergarten,5th Grade
TX,A LEAL JR MIDDLE,482247002251,HARLANDALE ISD,4822470,SAN ANTONIO,78211,SAN ANTONIO,78211,Yes under Community Eligibility Option (CEO),574,,533,6th Grade,8th Grade
NY,A M COSGROVE MIDDLE SCHOOL,362778003761,SPENCERPORT CENTRAL SCHOOL DISTRICT,3627780,SPENCERPORT,14559,SPENCERPORT,14559,Yes participating without using any Provision or the CEO,846,,307,6th Grade,8th Grade
TX,A M OCHOA EL,481739001496,DONNA ISD,4817390,DONNA,78537,DONNA,78537,Yes under Community Eligibility Option (CEO),603,,587,Prekindergarten,5th Grade
TX,A M PATE EL,481970001898,FORT WORTH ISD,4819700,FORT WORTH,76119,FORT WORTH,76119,Yes under Community Eligibility Option (CEO),315,,310,Prekindergarten,5th Grade
NY,A MACARTHUR BARR MIDDLE SCHOOL,362019001853,NANUET UNION FREE SCHOOL DISTRICT,3620190,NANUET,10954,NANUET,10954,Yes participating without using any Provision or the CEO,654,,215,5th Grade,8th Grade
TX,A N RICO EL,484496007002,WESLACO ISD,4844960,WESLACO,78596,WESLACO,78596,Yes under Community Eligibility Option (CEO),819,,748,Prekindergarten,5th Grade
TX,A P BEUTEL EL,481119000580,BRAZOSPORT ISD,4811190,LAKE JACKSON,77566,FREEPORT,77541,Yes under Community Eligibility Option (CEO),604,,361,Prekindergarten,4th Grade
TX,A P SOLIS MIDDLE,481739017037,DONNA ISD,4817390,DONNA,78537,DONNA,78537,Yes under Community Eligibility Option (CEO),631,,586,6th Grade,8th Grade
NY,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,360008304305,NEW YORK CITY GEOGRAPHIC DISTRICT # 6,3600083,NEW YORK,10031,NEW YORK,10031,,1387,,1256,9th Grade,12th Grade
NC,A T Allen Elementary,370053000208,Cabarrus County Schools,3700530,Concord,28025,Concord,28025,Yes participating without using any Provision or the CEO,650,,647,Kindergarten,5th Grade
TX,A V CATO EL,481317000815,CASTLEBERRY ISD,4813170,FORT WORTH,76114,FORT WORTH,76114,Yes under Community Eligibility Option (CEO),601,,552,Prekindergarten,5th Grade
PA,A W Beattie Career Center,428001007041,A W Beattie Career Center,4280010,Allison Park,15101,Allison Park,15101,No,5,,‡,9th Grade,12th Grade
NC,A&T Four Middle College,370192002669,Guilford County Schools,3701920,Greensboro,27411,Greensboro,27411,Yes participating without using any Provision or the CEO,169,,97,9th Grade,12th Grade
TX,A+ ACADEMY EL,480020308758,A+ ACADEMY,4800203,DALLAS,75217,DALLAS,75217,Yes under Provision 2,897,,857,Prekindergarten,6th Grade
OH,A+ Arts Academy,390030504842,A+ Arts Academy,3900305,Columbus,43205,Columbus,43205,Yes under Community Eligibility Option (CEO),366,174,,Kindergarten,8th Grade
OH,A+ Children's Academy,390148005718,A+ Children's Academy,3901480,Columbus,43207,Columbus,43207,Yes under Community Eligibility Option (CEO),87,72,,Kindergarten,6th Grade
TX,A+ SECONDARY SCHOOL,480020313579,A+ ACADEMY,4800203,DALLAS,75217,DALLAS,75217,Yes under Provision 2,752,,748,7th Grade,12th Grade
TX,A+ UNLIMITED POTENTIAL - UNIVERSITY,480145313369,A+ UNLIMITED POTENTIAL,4801453,HOUSTON,77004,HOUSTON,77004,Yes participating without using any Provision or the CEO,150,,124,6th Grade,8th Grade
WA,A-3 Multiagency Adolescent Prog,530825002361,Spokane School District,5308250,Spokane,99205,Spokane,99205,Yes under Community Eligibility Option (CEO),23,15,19,6th Grade,12th Grade
NY,A-TECH HIGH SCHOOL,360011901913,NEW YORK CITY GEOGRAPHIC DISTRICT #14,3600119,BROOKLYN,11222,BROOKLYN,11222,,459,,398,9th Grade,12th Grade
TN,A. B. Hill Elementary,470014801011,Memphis-Shelby County Schools,4700148,Memphis,38106,Memphis,38106,Yes under Community Eligibility Option (CEO),544,434,,Prekindergarten,5th Grade
SC,A. C. Corcoran Elementary,450144000199,Charleston 01,4501440,North Charleston,29406,North Charleston,29406,Yes under Community Eligibility Option (CEO),716,503,716,Prekindergarten,5th Grade
SC,A. C. Flora High,450336000952,Richland 01,4503360,Columbia,29204,Columbia,29204,Yes under Community Eligibility Option (CEO),1334,531,1334,9th Grade,12th Grade
SC,A. C. Moore Elementary,450336000926,Richland 01,4503360,Columbia,29205,Columbia,29205,Yes under Community Eligibility Option (CEO),224,94,224,Prekindergarten,5th Grade
NH,A. Crosby Kennett Middle School,330249000043,Conway School District,3302490,Conway,03818,Conway,03818,Yes participating without using any Provision or the CEO,253,,91,7th Grade,8th Grade
MO,A. D. STOWELL ELEM.,291365000587,HANNIBAL 60,2913650,HANNIBAL,63401,HANNIBAL,63401,Yes participating without using any Provision or the CEO,230,51,125,Prekindergarten,5th Grade
VA,A. Henderson Elementary,510313002039,Prince William County Public Schools,5103130,Dumfries,22025,Dumfries,22025,Yes participating without using any Provision or the CEO,819,238,284,Kindergarten,5th Grade
OH,A. I. Root Middle School,390443800365,Medina City SD,3904438,Medina,44256,Medina,44256,Yes participating without using any Provision or the CEO,700,,128,6th Grade,8th Grade
SC,A. J. Lewis Greenview Elementary,450336000919,Richland 01,4503360,Columbia,29203,Columbia,29203,Yes under Community Eligibility Option (CEO),353,296,353,Prekindergarten,5th Grade
SC,A. L. Corbett Middle,450072001702,Aiken 01,4500720,Wagener,29164,Wagener,29164,Yes under Community Eligibility Option (CEO),203,154,203,6th Grade,8th Grade
VA,A. Linwood Holton Governor's School,510003301933,A. Linwood Holton Governor's School,5100033,Abingdon,24210,Abingdon,24212,No,,,,,
TN,A. Maceo Walker Middle,470014801939,Memphis-Shelby County Schools,4700148,Memphis,38116,Memphis,38116,Yes under Community Eligibility Option (CEO),637,451,,6th Grade,8th Grade
NM,A. MONTOYA ELEMENTARY,350006000017,ALBUQUERQUE,3500060,TIJERAS,87059,TIJERAS,87059,Yes participating without using any Provision or the CEO,404,171,283,Prekindergarten,5th Grade
SC,A. R. Rucker Middle,450258001260,Lancaster 01,4502580,Lancaster,29720,Lancaster,29720,Yes under Community Eligibility Option (CEO),513,368,513,6th Grade,8th Grade
NJ,A. Russell Knight Elementary School,340300001422,Cherry Hill School District,3403000,CHERRY HILL,08034,CHERRY HILL,08034,Yes participating without using any Provision or the CEO,431,,40,Kindergarten,5th Grade
WV,A. T. Allison Elementary School,540045001186,HANCOCK COUNTY SCHOOLS,5400450,Chester,26034,Chester,26034,Yes under Community Eligibility Option (CEO),257,131,,Prekindergarten,4th Grade
TN,A. Z. Kelley Elementary,470318002116,Davidson County,4703180,Antioch,37013,Antioch,37013,Yes participating without using any Provision or the CEO,683,179,,Prekindergarten,4th Grade
NC,A.C.E. Academy,370037203324,A.C.E. Academy,3700372,Harrisburg,28075,Harrisburg,28075,Yes participating without using any Provision or the CEO,438,,431,Kindergarten,8th Grade
SD,A.C.E. High Academy - 06,461695000307,Custer School District 16-1,4616950,Custer,57730,Custer,57730,No,19,3,3,9th Grade,12th Grade
NJ,A.E. Burling Elementary School,341287002927,Pennsauken Township Board of Education School District,3412870,PENNSAUKEN,08105,PENNSAUKEN,08105,,,,,,
NJ,A.E. Burling High School,341287003465,Pennsauken Township Board of Education School District,3412870,Pennsauken,08110,Pennsauken,08110,No,35,,12,6th Grade,12th Grade
VA,A.G. Richardson Elementary,510105000374,Culpeper County Public Schools,5101050,Culpeper,22701,Culpeper,22701,Yes participating without using any Provision or the CEO,568,212,245,Prekindergarten,5th Grade
SC,A.J. Whittenberg Elementary,450231001551,Greenville 01,4502310,Greenville,29601,Greenville,29601,Yes participating without using any Provision or the CEO,479,266,314,Prekindergarten,5th Grade
VA,A.M. Davis Elementary,510084000314,Chesterfield County Public Schools,5100840,North Chesterfield,23236,North Chesterfield,23236,Yes under Community Eligibility Option (CEO),737,563,563,Prekindergarten,5th Grade
VA,A.S. Rhodes Elementary,510387001729,Warren County Public Schools,5103870,Front Royal,22630,Front Royal,22630,Yes under Community Eligibility Option (CEO),265,185,185,Prekindergarten,5th Grade
VA,A.W.E. Bassette Elementary,510180000725,Hampton City Public Schools,5101800,Hampton,23661,Hampton,23661,Yes under Community Eligibility Option (CEO),499,457,457,Prekindergarten,5th Grade
NJ,Aaron Decker School,340252004168,Butler Public School District,3402520,BUTLER,07405,BUTLER,07405,Yes participating without using any Provision or the CEO,369,,85,Prekindergarten,4th Grade
NY,AARON MOSSELL JUNIOR HIGH SCHOOL,361767001587,LOCKPORT CITY SCHOOL DISTRICT,3617670,LOCKPORT,14094,LOCKPORT,14094,Yes under Community Eligibility Option (CEO),621,,424,7th Grade,8th Grade
TX,AARON PARKER EL,483301003665,NORTH LAMAR ISD,4833010,POWDERLY,75473,PARIS,75460,Yes participating without using any Provision or the CEO,270,,200,Prekindergarten,4th Grade
TX,AB HARRISON INT,484653007224,WYLIE ISD,4846530,WYLIE,75098,WYLIE,75098,Yes participating without using any Provision or the CEO,1108,,348,5th Grade,6th Grade
VA,Abb's Valley-Boissevain Elementary,510381001645,Tazewell County Public Schools,5103810,Bluefield,24605,Boissevain,24606,Yes under Community Eligibility Option (CEO),155,135,135,Prekindergarten,5th Grade
TX,ABBETT EL,482034006706,GARLAND ISD,4820340,GARLAND,75044,GARLAND,75044,Yes under Community Eligibility Option (CEO),654,,349,Prekindergarten,5th Grade
SC,Abbeville City Career Center,450069001188,Abbeville 60,4500690,Abbeville,29620,Abbeville,29620,Yes participating without using any Provision or the CEO,0,,,10th Grade,12th Grade
SC,Abbeville High,450069000011,Abbeville 60,4500690,Abbeville,29620,Abbeville,29620,Yes participating without using any Provision or the CEO,427,245,284,9th Grade,12th Grade
NY,ABBEY LANE SCHOOL,361716001518,LEVITTOWN UNION FREE SCHOOL DISTRICT,3617160,LEVITTOWN,11756,LEVITTOWN,11756,Yes participating without using any Provision or the CEO,630,,185,Kindergarten,5th Grade
NH,Abbot-Downing School,330246000054,Concord School District,3302460,Concord,03301,Concord,03301,Yes participating without using any Provision or the CEO,345,,97,Prekindergarten,5th Grade
WI,Abbotsford Elementary,550003000001,Abbotsford School District,5500030,Abbotsford,54405,Abbotsford,54405,Yes under Community Eligibility Option (CEO),406,,305,Prekindergarten,5th Grade
WI,Abbotsford Middle/Senior High,550003000002,Abbotsford School District,5500030,Abbotsford,54405,Abbotsford,54405,Yes under Community Eligibility Option (CEO),401,,277,6th Grade,12th Grade
SD,Abbott House Elementary - 06,464839001338,Mitchell School District 17-2,4648390,Mitchell,57301,Mitchell,57301,Yes participating without using any Provision or the CEO,8,‡,‡,Kindergarten,8th Grade
SD,Abbott House High School - 07,464839001337,Mitchell School District 17-2,4648390,Mitchell,57301,Mitchell,57301,Yes participating without using any Provision or the CEO,30,,3,9th Grade,12th Grade
TX,ABBOTT SCHOOL,480738000006,ABBOTT ISD,4807380,ABBOTT,76621,ABBOTT,76621,Yes participating without using any Provision or the CEO,284,,88,Prekindergarten,12th Grade
NC,Abbotts Creek Elementary,370472003241,Wake County Schools,3704720,Raleigh,27614,Raleigh,27614,Yes participating without using any Provision or the CEO,805,,251,Prekindergarten,5th Grade
TX,ABELL J H,483057005118,MIDLAND ISD,4830570,MIDLAND,79707,MIDLAND,79707,Yes participating without using any Provision or the CEO,1094,,548,7th Grade,8th Grade
NC,Aberdeen Elementary,370309001315,Moore County Schools,3703090,Aberdeen,28315,Aberdeen,28315,Yes participating without using any Provision or the CEO,635,,632,Prekindergarten,5th Grade
VA,Aberdeen Elementary,510180000726,Hampton City Public Schools,5101800,Hampton,23666,Hampton,23666,Yes under Community Eligibility Option (CEO),452,413,413,Prekindergarten,5th Grade
TX,ABERNATHY DAEP,480741009626,ABERNATHY ISD,4807410,PLAINVIEW,79072,ABERNATHY,79311,Yes participating without using any Provision or the CEO,5,,‡,8th Grade,12th Grade
TX,ABERNATHY EL,480741000007,ABERNATHY ISD,4807410,ABERNATHY,79311,ABERNATHY,79311,Yes under Community Eligibility Option (CEO),412,,214,Prekindergarten,5th Grade
TX,ABERNATHY H S,480741000008,ABERNATHY ISD,4807410,ABERNATHY,79311,ABERNATHY,79311,Yes under Community Eligibility Option (CEO),225,,111,9th Grade,12th Grade
TX,ABERNATHY MIDDLE,480741000009,ABERNATHY ISD,4807410,ABERNATHY,79311,ABERNATHY,79311,Yes under Community Eligibility Option (CEO),170,,80,6th Grade,8th Grade
OR,Abernethy Elementary School,411004000865,Portland SD 1J,4110040,Portland,97214,Portland,97214,Yes participating without using any Provision or the CEO,330,26,50,Kindergarten,5th Grade
TX,ABILENE H S,480744000010,ABILENE ISD,4807440,ABILENE,79603,ABILENE,79603,Yes under Community Eligibility Option (CEO),1903,,1273,9th Grade,12th Grade
VA,Abingdon Elementary,510027000081,Arlington County Public Schools,5100270,Arlington,22206,Arlington,22206,Yes under Community Eligibility Option (CEO),717,512,512,Prekindergarten,5th Grade
VA,Abingdon Elementary,510390001735,Washington County Public Schools,5103900,Abingdon,24210,Abingdon,24210,Yes under Community Eligibility Option (CEO),410,316,316,Prekindergarten,5th Grade
VA,Abingdon Elementary,510162000677,Gloucester County Public Schools,5101620,Hayes,23072,Hayes,23072,Yes under Community Eligibility Option (CEO),437,321,321,Prekindergarten,5th Grade
VA,Abingdon High,510390001736,Washington County Public Schools,5103900,Abingdon,24210,Abingdon,24210,Yes under Community Eligibility Option (CEO),877,642,642,9th Grade,12th Grade
NJ,Abington Avenue School,341134002222,Newark Public School District,3411340,NEWARK,07107,NEWARK,07107,Yes participating without using any Provision or the CEO,833,,738,Prekindergarten,8th Grade
PA,Abington Heights HS,420201005091,Abington Heights SD,4202010,Clarks Summit,18411,Clarks Summit,18411,Yes participating without using any Provision or the CEO,1117,,14,9th Grade,12th Grade
PA,Abington Heights MS,420201006839,Abington Heights SD,4202010,Clarks Summit,18411,Clarks Summit,18411,Yes participating without using any Provision or the CEO,1079,,13,5th Grade,8th Grade
PA,Abington MS,420204003242,Abington SD,4202040,Abington,19001,Abington,19001,Yes participating without using any Provision or the CEO,2044,,690,6th Grade,8th Grade
PA,Abington SHS,420204003241,Abington SD,4202040,Abington,19001,Abington,19001,Yes participating without using any Provision or the CEO,2793,,944,9th Grade,12th Grade
NM,ABIQUIU ELEMENTARY,350090000259,ESPANOLA,3500900,ABIQUIU,87510,ABIQUIU,87510,Yes under Community Eligibility Option (CEO),76,41,76,Kindergarten,6th Grade
SC,Abner Creek Academy,450360001503,Spartanburg 05,4503600,Duncan,29334,Duncan,29334,Yes participating without using any Provision or the CEO,760,309,408,Prekindergarten,4th Grade
TX,ABOUT FACE JJAEP,481830012491,EL PASO ISD,4818300,EL PASO,79902,EL PASO,79902,,,,,,
TX,ABOUT FACE PROGRAM EL,481830010643,EL PASO ISD,4818300,EL PASO,79904,EL PASO,79904,Yes under Community Eligibility Option (CEO),5,,‡,2nd Grade,5th Grade
NM,ABQ CHARTER ACADEMY,350006000893,ALBUQUERQUE,3500060,ALBUQUERQUE,87102,ALBUQUERQUE,87102,No,348,121,123,9th Grade,12th Grade
NM,ABQ SCHOOL OF EXCELLENCE,350012201071,ABQ SCHOOL OF EXCELLENCE,3500122,ALBUQUERQUE,87112,ALBUQUERQUE,87112,Yes under Community Eligibility Option (CEO),942,208,394,Kindergarten,12th Grade
NM,ABQ SIGN LANGUAGE ACADEMY,350012301066,ABQ SIGN LANGUAGE ACADEMY,3500123,ALBUQUERQUE,87102,ALBUQUERQUE,87102,Yes under Community Eligibility Option (CEO),146,55,146,Kindergarten,12th Grade
NJ,Abraham Clark High School,341428005650,Roselle Public School District,3414280,ROSELLE,07203,ROSELLE,07203,Yes participating without using any Provision or the CEO,918,,574,9th Grade,12th Grade
OH,Abraham Depp Elementary,390470206054,Dublin City,3904702,Plain City,43064,Plain City,43064,Yes participating without using any Provision or the CEO,824,,33,Kindergarten,5th Grade
PA,Abraham Lincoln El Sch,420351004802,Bethel Park SD,4203510,Pittsburgh,15234,Pittsburgh,15234,Yes participating without using any Provision or the CEO,353,,75,Kindergarten,4th Grade
WI,Abraham Lincoln Elementary,550984002771,Monroe School District,5509840,Monroe,53566,Monroe,53566,Yes participating without using any Provision or the CEO,297,,132,Prekindergarten,5th Grade
WA,Abraham Lincoln Elementary,530966001632,Wenatchee School District,5309660,WENATCHEE,98801,WENATCHEE,98801,Yes under Community Eligibility Option (CEO),455,279,385,Kindergarten,5th Grade
OR,Abraham Lincoln Elementary,410804000963,Medford SD 549C,4108040,Medford,97504,Medford,97504,Yes under Community Eligibility Option (CEO),415,125,270,Kindergarten,5th Grade
NY,ABRAHAM LINCOLN ELEMENTARY SCHOOL,361563001352,JAMESTOWN CITY SCHOOL DISTRICT,3615630,JAMESTOWN,14701,JAMESTOWN,14701,Yes under Community Eligibility Option (CEO),401,,280,Prekindergarten,4th Grade
NJ,Abraham Lincoln Elementary School,341836000940,Wyckoff Township Public School District,3418360,WYCKOFF,07481,WYCKOFF,07481,No,345,,3,Kindergarten,5th Grade
TN,Abraham Lincoln Elementary School,470219000710,Kingsport,4702190,Kingsport,37664,Kingsport,37664,Yes under Community Eligibility Option (CEO),417,177,,Prekindergarten,5th Grade
NY,ABRAHAM LINCOLN HIGH SCHOOL,360015201906,NEW YORK CITY GEOGRAPHIC DISTRICT #21,3600152,BROOKLYN,11235,BROOKLYN,11235,,2163,,1766,9th Grade,12th Grade
OH,Abraham Lincoln School,390443005353,Maple Heights City,3904430,Maple Heights,44137,Maple Heights,44137,Yes under Community Eligibility Option (CEO),463,323,,Prekindergarten,1st Grade
NJ,Abraham Lincoln School #6,340576000472,Garfield Public School District,3405760,GARFIELD,07026,GARFIELD,07026,Yes under Community Eligibility Option (CEO),380,,178,Prekindergarten,5th Grade
