st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible,gslo,gshi
KY,Clear Creek Elementary,210532001295,Shelby County,2105320,Shelbyville,40065,Shelbyville,40065,Yes under Community Eligibility Option (CEO),426,183,201,Kindergarten,5th Grade
IA,Clear Creek Elementary School,190762000362,Clear Lake Comm School District,1907620,Clear Lake,50428,Clear Lake,50428,Yes participating without using any Provision or the CEO,688,,212,Prekindergarten,5th Grade
GA,Clear Creek Elementary School,130033003287,Bartow County,1300330,Cartersville,30121,Cartersville,30121,Yes participating without using any Provision or the CEO,659,147,441,Prekindergarten,5th Grade
IN,Clear Creek Elementary School,180063000124,Monroe County Community Sch Corp,1800630,Bloomington,47403,Bloomington,47403,Yes under Community Eligibility Option (CEO),304,163,153,Prekindergarten,6th Grade
IA,Clear Creek Elementary School,190759000359,Clear Creek Amana Comm School District,1907590,Oxford,52322,Oxford,52322,Yes participating without using any Provision or the CEO,301,,75,Prekindergarten,4th Grade
GA,Clear Creek Elementary School,130234004093,Gilmer County,1302340,Ellijay,30536,Ellijay,30536,Yes participating without using any Provision or the CEO,589,125,393,Prekindergarten,5th Grade
CO,Clear Creek High School,080300000217,Clear Creek School District No. Re-1,0803000,EVERGREEN,80439,EVERGREEN,80439,Yes participating without using any Provision or the CEO,189,,46,9th Grade,12th Grade
GA,Clear Creek Middle School,130234003371,Gilmer County,1302340,Ellijay,30536,Ellijay,30536,Yes participating without using any Provision or the CEO,884,230,648,6th Grade,8th Grade
CO,Clear Creek Middle School,080300006157,Clear Creek School District No. Re-1,0803000,EVERGREEN,80439,EVERGREEN,80439,Yes participating without using any Provision or the CEO,87,,25,7th Grade,8th Grade
MI,Clear Lake Elementary School,262724006335,Oxford Community Schools,2627240,OXFORD,48371,OXFORD,48371,Yes participating without using any Provision or the CEO,430,,97,Kindergarten,5th Grade
CA,Clear Lake High,062067002484,Lakeport Unified,0620670,Lakeport,95453,Lakeport,95453,Yes under Community Eligibility Option (CEO),336,158,174,9th Grade,12th Grade
IA,Clear Lake High School,190762000363,Clear Lake Comm School District,1907620,Clear Lake,50428,Clear Lake,50428,Yes participating without using any Provision or the CEO,458,,154,9th Grade,12th Grade
IA,Clear Lake Middle School,190762000364,Clear Lake Comm School District,1907620,Clear Lake,50428,Clear Lake,50428,Yes participating without using any Provision or the CEO,326,,105,6th Grade,8th Grade
CA,Clear Passage Educational Center,060159313860,Clear Passage Educational Center District,0601593,Long Beach,90813,Long Beach,90807,,65,49,60,9th Grade,12th Grade
CO,Clear Sky Elementary,080345006392,Douglas County School District No. Re 1,0803450,CASTLE ROCK,80109,CASTLE ROCK,80109,Yes participating without using any Provision or the CEO,683,,148,Prekindergarten,6th Grade
MD,Clear Spring Elementary,240066001259,Washington County Public Schools,2400660,Clear Spring,21722,Clear Spring,21722,Yes participating without using any Provision or the CEO,378,135,182,Prekindergarten,5th Grade
MD,Clear Spring High,240066001260,Washington County Public Schools,2400660,Clear Spring,21722,Clear Spring,21722,Yes participating without using any Provision or the CEO,468,166,229,9th Grade,12th Grade
MD,Clear Spring Middle,240066001261,Washington County Public Schools,2400660,Clear Spring,21722,Clear Spring,21722,Yes participating without using any Provision or the CEO,329,134,173,6th Grade,8th Grade
MN,CLEAR SPRINGS ELEMENTARY,271167000541,MINNETONKA PUBLIC SCHOOL DISTRICT,2711670,MINNETONKA,55345,MINNETONKA,55345,Yes participating without using any Provision or the CEO,866,80,97,Kindergarten,5th Grade
CA,Clear View,060861010307,Chula Vista Elementary,0608610,Chula Vista,91910,Chula Vista,91910,Yes under Provision 2,501,127,219,Kindergarten,6th Grade
MN,CLEARBROOK-GONVICK ELEMENTARY,270010303467,CLEARBROOK-GONVICK SCHOOL DISTRICT,2700103,CLEARBROOK,56634,CLEARBROOK,56634,Yes participating without using any Provision or the CEO,274,109,150,Prekindergarten,6th Grade
MN,CLEARBROOK-GONVICK SECONDARY,270010303468,CLEARBROOK-GONVICK SCHOOL DISTRICT,2700103,CLEARBROOK,56634,CLEARBROOK,56634,Yes participating without using any Provision or the CEO,206,75,110,7th Grade,12th Grade
KY,Clearfield Elementary School,210510001254,Rowan County,2105100,Clearfield,40313,Clearfield,40313,Yes under Community Eligibility Option (CEO),313,247,258,Kindergarten,5th Grade
CA,Clearlake Creativity,069101413724,Lake County Office of Education,0691014,Clearlake,95422,Clearlake,95422,Yes under Community Eligibility Option (CEO),21,11,20,Kindergarten,12th Grade
IL,Clearmont Elem School,171377001711,Comm Cons SD 59,1713770,Elk Grove Village,60007,Elk Grove Village,60007,Yes participating without using any Provision or the CEO,402,,223,Kindergarten,5th Grade
MD,Clearspring Elementary,240048001514,Montgomery County Public Schools,2400480,Damascus,20872,Damascus,20872,Yes participating without using any Provision or the CEO,539,195,218,Prekindergarten,5th Grade
IL,Clearview Elem School,174125004123,Waukegan CUSD 60,1741250,Waukegan,60087,Waukegan,60087,Yes under Community Eligibility Option (CEO),414,,317,Prekindergarten,5th Grade
MN,CLEARVIEW ELEMENTARY,273351001481,ST. CLOUD PUBLIC SCHOOL DISTRICT,2733510,CLEAR LAKE,55319,CLEAR LAKE,55319,Yes under Community Eligibility Option (CEO),403,81,146,Kindergarten,5th Grade
GA,Clearview Elementary School,130000104317,Troup County,1300001,LaGrange,30241,LaGrange,30241,Yes under Community Eligibility Option (CEO),642,368,642,Prekindergarten,5th Grade
KS,Clearwater Creek Elementary,201014001760,Olathe,2010140,Olathe,66061,Olathe,66061,Yes participating without using any Provision or the CEO,571,,83,Prekindergarten,5th Grade
CA,Clearwater Elementary,063018013981,Perris Elementary,0630180,Perris,92571,Perris,92571,Yes under Community Eligibility Option (CEO),650,381,524,Kindergarten,6th Grade
IN,Clearwater Elementary School,181272002657,MSD Washington Township,1812720,Indianapolis,46240,Indianapolis,46240,Yes participating without using any Provision or the CEO,720,388,268,Kindergarten,5th Grade
KS,Clearwater Elementary West,200492000377,Clearwater,2004920,Clearwater,67026,Clearwater,67026,Yes participating without using any Provision or the CEO,326,,124,Prekindergarten,3rd Grade
FL,CLEARWATER FUNDAMENTAL MIDDLE SCHOOL,120156003108,PINELLAS,1201560,CLEARWATER,33755,CLEARWATER,33755,Yes participating without using any Provision or the CEO,755,184,234,6th Grade,8th Grade
KS,Clearwater High,200492000378,Clearwater,2004920,Clearwater,67026,Clearwater,67026,Yes participating without using any Provision or the CEO,358,,110,9th Grade,12th Grade
FL,CLEARWATER HIGH SCHOOL,120156001610,PINELLAS,1201560,CLEARWATER,33764,CLEARWATER,33764,Yes under Community Eligibility Option (CEO),1637,884,965,9th Grade,12th Grade
KS,Clearwater Intermediate - Middle School,200492000376,Clearwater,2004920,Clearwater,67026,Clearwater,67026,Yes participating without using any Provision or the CEO,408,,142,4th Grade,8th Grade
ID,CLEARWATER VALLEY ELEMENTARY,160013900961,MOUNTAIN VIEW SCHOOL DISTRICT,1600139,KOOSKIA,83539,KOOSKIA,83539,Yes participating without using any Provision or the CEO,142,43,80,Prekindergarten,6th Grade
ID,CLEARWATER VALLEY JR/SR,160013900936,MOUNTAIN VIEW SCHOOL DISTRICT,1600139,KOOSKIA,83539,KOOSKIA,83539,Yes participating without using any Provision or the CEO,167,23,79,7th Grade,12th Grade
LA,Clearwood Junior High School,220165001566,St. Tammany Parish,2201650,Slidell,70458,Slidell,70458,Yes under Community Eligibility Option (CEO),667,,367,4th Grade,8th Grade
KS,Cleaveland Traditional Magnet Elementary,201299000264,Wichita,2012990,Wichita,67217,Wichita,67217,Yes participating without using any Provision or the CEO,296,,247,Prekindergarten,5th Grade
AL,Cleburne County Alternative School,010078002361,Cleburne County,0100780,Heflin,36264,Heflin,36264,Yes participating without using any Provision or the CEO,,,,6th Grade,12th Grade
AL,Cleburne County Career Technical School,010078000768,Cleburne County,0100780,Heflin,36264,Heflin,36264,Yes participating without using any Provision or the CEO,,,,7th Grade,12th Grade
AL,Cleburne County Elementary School,010078000317,Cleburne County,0100780,Heflin,36264,Heflin,36264,Yes under Community Eligibility Option (CEO),380,212,247,Prekindergarten,4th Grade
AL,Cleburne County High School,010078000318,Cleburne County,0100780,Heflin,36264,Heflin,36264,Yes under Community Eligibility Option (CEO),548,294,349,8th Grade,12th Grade
AL,Cleburne County Middle School,010078001671,Cleburne County,0100780,Heflin,36264,Heflin,36264,Yes under Community Eligibility Option (CEO),254,160,178,5th Grade,7th Grade
MD,Clemens Crossing Elementary,240042001382,Howard County Public Schools,2400420,Columbia,21044,Columbia,21044,Yes participating without using any Provision or the CEO,506,90,117,Kindergarten,5th Grade
CA,Clement Middle,063207007274,Redlands Unified,0632070,Redlands,92374,Redlands,92374,Yes under Community Eligibility Option (CEO),973,425,691,6th Grade,8th Grade
IL,Clemente Community Academy HS,170993001086,Chicago Public Schools Dist 299,1709930,Chicago,60622,Chicago,60622,Yes under Community Eligibility Option (CEO),815,,731,9th Grade,12th Grade
AL,Clements High School,010210000799,Limestone County,0102100,Athens,35611,Athens,35611,Yes participating without using any Provision or the CEO,560,338,385,6th Grade,12th Grade
GA,Clements Middle School,130393003869,Newton County,1303930,Covington,30016,Covington,30016,Yes under Community Eligibility Option (CEO),733,217,616,6th Grade,8th Grade
CA,Cleminson Elementary,061209001346,El Monte City,0612090,Temple City,91780,Temple City,91780,Yes under Community Eligibility Option (CEO),333,137,223,Kindergarten,6th Grade
CA,Cleo Gordon Elementary,061336001520,Fairfield-Suisun Unified,0613360,Fairfield,94533,Fairfield,94533,Yes under Community Eligibility Option (CEO),469,270,380,Kindergarten,5th Grade
GA,Cleveland Avenue Elementary School,130012000091,Atlanta Public Schools,1300120,Atlanta,30315,Atlanta,30315,Yes under Community Eligibility Option (CEO),251,105,238,Prekindergarten,5th Grade
MS,CLEVELAND CENTRAL HIGH SCHOOL,280075001477,CLEVELAND SCHOOL DIST,2800750,CLEVELAND,38732,Cleveland,38732,Yes under Community Eligibility Option (CEO),816,332,816,9th Grade,12th Grade
MS,CLEVELAND CENTRAL MIDDLE SCHOOL,280075001475,CLEVELAND SCHOOL DIST,2800750,CLEVELAND,38732,CLEVELAND,38732,Yes under Community Eligibility Option (CEO),408,179,408,7th Grade,8th Grade
FL,CLEVELAND COURT ELEMENTARY SCHOOL,120159001708,POLK,1201590,LAKELAND,33803,LAKELAND,33803,Yes under Community Eligibility Option (CEO),398,216,216,Kindergarten,5th Grade
IL,Cleveland Elem School,170993000663,Chicago Public Schools Dist 299,1709930,Chicago,60618,Chicago,60618,Yes under Community Eligibility Option (CEO),485,,378,Prekindergarten,8th Grade
CA,Cleveland Elementary,062250002707,Long Beach Unified,0622500,Lakewood,90713,Lakewood,90713,Yes participating without using any Provision or the CEO,455,81,136,Kindergarten,5th Grade
CA,Cleveland Elementary,062805004251,Oakland Unified,0628050,Oakland,94606,Oakland,94606,Yes under Community Eligibility Option (CEO),383,111,211,Kindergarten,5th Grade
MN,CLEVELAND ELEMENTARY,270933000374,CLEVELAND PUBLIC SCHOOL DISTRICT,2709330,CLEVELAND,56017,CLEVELAND,56017,Yes participating without using any Provision or the CEO,362,62,99,Prekindergarten,6th Grade
MI,Cleveland Elementary,262883006462,Port Huron Area School District,2628830,PORT HURON,48060,PORT HURON,48060,Yes under Community Eligibility Option (CEO),238,,213,Prekindergarten,5th Grade
CA,Cleveland Elementary,060141406016,Santa Barbara Unified,0601414,Santa Barbara,93103,Santa Barbara,93103,Yes under Community Eligibility Option (CEO),253,133,192,Kindergarten,6th Grade
CA,Cleveland Elementary,063801006400,Stockton Unified,0638010,Stockton,95204,Stockton,95204,Yes under Community Eligibility Option (CEO),610,401,492,Kindergarten,8th Grade
MN,CLEVELAND ELEMENTARY,271188000574,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2711880,FERGUS FALLS,56537,FERGUS FALLS,56537,Yes participating without using any Provision or the CEO,352,111,160,2nd Grade,4th Grade
CA,Cleveland Elementary,063441005597,San Francisco Unified,0634410,San Francisco,94112,San Francisco,94112,Yes under Community Eligibility Option (CEO),306,150,212,Kindergarten,5th Grade
GA,Cleveland Elementary School,130213002554,Fayette County,1302130,Fayetteville,30215,Fayetteville,30215,Yes participating without using any Provision or the CEO,403,65,241,Prekindergarten,5th Grade
IA,Cleveland Elementary School,190654000234,Cedar Rapids Comm School District,1906540,Cedar Rapids,52405,Cedar Rapids,52405,Yes under Community Eligibility Option (CEO),277,,211,Kindergarten,5th Grade
IN,Cleveland Elementary School,180327000426,Elkhart Community Schools,1803270,Elkhart,46514,Elkhart,46514,Yes participating without using any Provision or the CEO,557,389,356,Kindergarten,6th Grade
FL,CLEVELAND ELEMENTARY SCHOOL,120087000935,HILLSBOROUGH,1200870,TAMPA,33604,TAMPA,33604,Yes under Community Eligibility Option (CEO),195,164,165,Prekindergarten,5th Grade
MI,Cleveland Elementary School,262184005878,Livonia Public Schools School District,2621840,LIVONIA,48150,LIVONIA,48150,Yes under Community Eligibility Option (CEO),400,,232,Prekindergarten,4th Grade
AL,Cleveland Elementary School,010042001476,Blount County,0100420,Cleveland,35049,Cleveland,35049,Yes under Community Eligibility Option (CEO),513,291,299,Prekindergarten,6th Grade
DC,Cleveland ES,110003000103,District of Columbia Public Schools,1100030,Washington,20001,Washington,20001,Yes under Community Eligibility Option (CEO),299,172,,Prekindergarten,5th Grade
AL,Cleveland High School,010042000206,Blount County,0100420,Cleveland,35049,Cleveland,35049,Yes under Community Eligibility Option (CEO),363,198,208,7th Grade,12th Grade
